Year,Litterfall - control (g C m-2),Litterfall - warming (g C m-2)
1989,177.78,177.78
1990,165.30,165.30
1991,191.63,191.63
1992,169.46,169.46
1993,187.66,187.66
1994,196.29,196.29
1995,195.61,195.61
1996,192.56,192.56
1997,184.93,184.93
1998,185.30,185.30
1999,202.93,202.93
2000,175.62,175.62
2001,199.13,199.13
2002,178.03,178.03
2003,206.59,206.59
2004,193.17,193.17
2005,197.70,197.70
2006,133.64,140.66
2007,166.12,198.02
2008,192.63,200.25
2009,182.21,195.64
2010,157.62,176.85
2011,131.59,143.56
2012,182.18,196.48
2013,155.55,170.62
2014,184.21,219.03
2015,141.26,171.69
2016,181.76,175.58
