Date,Soil_moisture
21/05/2003,0.23875
22/05/2003,0.2395
23/05/2003,0.2505
24/05/2003,0.26125
25/05/2003,0.272
26/05/2003,0.30125
27/05/2003,0.28475
28/05/2003,0.28325
29/05/2003,0.2715
30/05/2003,0.2605
31/05/2003,0.27
01/06/2003,0.29275
02/06/2003,0.27625
03/06/2003,0.2635
04/06/2003,0.25425
05/06/2003,0.27725
06/06/2003,0.2635
07/06/2003,0.2785
08/06/2003,0.27825
09/06/2003,0.266
10/06/2003,0.256
11/06/2003,0.27775
12/06/2003,0.27925
13/06/2003,0.31075
14/06/2003,0.28675
15/06/2003,0.26825
16/06/2003,0.2575
17/06/2003,0.25025
18/06/2003,0.25475
19/06/2003,0.2555
20/06/2003,0.27675
21/06/2003,0.282791667
22/06/2003,0.351291667
23/06/2003,0.309625
24/06/2003,0.288958333
25/06/2003,0.27825
26/06/2003,0.271166667
27/06/2003,0.265458333
28/06/2003,0.259958333
29/06/2003,0.254208333
30/06/2003,0.250208333
01/07/2003,0.244625
02/07/2003,0.238375
03/07/2003,0.231791667
04/07/2003,0.227
05/07/2003,0.22075
06/07/2003,0.213791667
07/07/2003,0.206708333
08/07/2003,0.201
09/07/2003,0.207541667
10/07/2003,0.208875
11/07/2003,0.229958333
12/07/2003,0.2275
13/07/2003,0.215208333
14/07/2003,0.208666667
15/07/2003,0.202208333
16/07/2003,0.199833333
17/07/2003,0.198666667
18/07/2003,0.193583333
19/07/2003,0.189083333
20/07/2003,0.182083333
21/07/2003,0.178791667
22/07/2003,0.205416667
23/07/2003,0.212833333
24/07/2003,0.206708333
25/07/2003,0.205666667
26/07/2003,0.193916667
27/07/2003,0.185166667
28/07/2003,0.177166667
29/07/2003,0.170208333
30/07/2003,0.164
31/07/2003,0.158208333
01/08/2003,0.186916667
02/08/2003,0.225
03/08/2003,0.225
04/08/2003,0.229166667
05/08/2003,0.233333333
06/08/2003,0.233333333
07/08/2003,0.233333333
08/08/2003,0.239375
09/08/2003,0.246166667
10/08/2003,0.245666667
11/08/2003,0.249666667
12/08/2003,0.277083333
13/08/2003,0.2725
14/08/2003,0.26
15/08/2003,0.24575
16/08/2003,0.235083333
17/08/2003,0.227208333
18/08/2003,0.250791667
19/08/2003,0.250291667
20/08/2003,0.235
21/08/2003,0.223791667
22/08/2003,0.232458333
23/08/2003,0.232458333
24/08/2003,0.219708333
25/08/2003,0.211583333
26/08/2003,0.204458333
27/08/2003,0.196041667
28/08/2003,0.187416667
29/08/2003,0.181791667
30/08/2003,0.177666667
31/08/2003,0.173666667
01/09/2003,0.17125
02/09/2003,0.205166667
03/09/2003,0.203625
04/09/2003,0.215541667
05/09/2003,0.210375
06/09/2003,0.200666667
07/09/2003,0.192041667
08/09/2003,0.184583333
09/09/2003,0.17875
10/09/2003,0.173875
11/09/2003,0.168083333
12/09/2003,0.163833333
13/09/2003,0.161291667
14/09/2003,0.1595
15/09/2003,0.158666667
16/09/2003,0.201916667
17/09/2003,0.190541667
18/09/2003,0.181
19/09/2003,0.199458333
20/09/2003,0.203583333
21/09/2003,0.193333333
22/09/2003,0.185
23/09/2003,0.233333333
24/09/2003,0.252375
25/09/2003,0.237375
26/09/2003,0.259666667
27/09/2003,0.251375
28/09/2003,0.278083333
29/09/2003,0.275666667
30/09/2003,0.262916667
01/10/2003,0.254291667
02/10/2003,0.248875
03/10/2003,0.243541667
04/10/2003,0.245291667
05/10/2003,0.2505
06/10/2003,0.243791667
07/10/2003,0.238833333
08/10/2003,0.234458333
09/10/2003,0.229041667
10/10/2003,0.225
11/10/2003,0.220208333
12/10/2003,0.219791667
13/10/2003,0.218916667
14/10/2003,0.214708333
15/10/2003,0.284916667
16/10/2003,0.263083333
17/10/2003,0.253125
18/10/2003,0.248166667
19/10/2003,0.244916667
20/10/2003,0.24325
21/10/2003,0.243166667
22/10/2003,0.242875
23/10/2003,0.254333333
24/10/2003,0.253333333
25/10/2003,0.246958333
26/10/2003,0.244916667
27/10/2003,0.310333333
28/10/2003,0.293916667
29/10/2003,0.319666667
30/10/2003,0.28325
31/10/2003,0.271625
01/11/2003,0.264708333
02/11/2003,0.260333333
03/11/2003,0.259875
04/11/2003,0.257333333
05/11/2003,0.291
06/11/2003,0.280041667
07/11/2003,0.267208333
08/11/2003,0.259375
09/11/2003,0.25475
10/11/2003,0.252083333
11/11/2003,0.259125
12/11/2003,0.261166667
13/11/2003,0.264375
14/11/2003,0.259125
15/11/2003,0.2535
16/11/2003,0.251083333
17/11/2003,0.249625
18/11/2003,0.247625
19/11/2003,0.258
20/11/2003,0.307708333
21/11/2003,0.280125
22/11/2003,0.271291667
23/11/2003,0.265875
24/11/2003,0.262041667
25/11/2003,0.263708333
26/11/2003,0.262916667
27/11/2003,0.259875
28/11/2003,0.2665
29/11/2003,0.279333333
30/11/2003,0.269541667
01/12/2003,0.265333333
02/12/2003,0.260916667
03/12/2003,0.257
04/12/2003,0.256583333
05/12/2003,0.255
06/12/2003,0.254958333
07/12/2003,0.256375
08/12/2003,0.261291667
09/12/2003,0.266875
10/12/2003,0.27225
11/12/2003,0.297833333
12/12/2003,0.289041667
13/12/2003,0.2765
14/12/2003,0.269916667
15/12/2003,0.270916667
16/12/2003,0.272041667
17/12/2003,0.306333333
18/12/2003,0.308541667
19/12/2003,0.302583333
20/12/2003,0.303166667
21/12/2003,0.302583333
22/12/2003,0.302208333
23/12/2003,0.304125
24/12/2003,0.331916667
25/12/2003,0.334583333
26/12/2003,0.325791667
27/12/2003,0.321208333
28/12/2003,0.317916667
29/12/2003,0.314958333
30/12/2003,0.312375
31/12/2003,0.306166667
01/01/2004,0.3
02/01/2004,0.296791667
03/01/2004,0.300375
04/01/2004,0.3005
05/01/2004,0.297916667
06/01/2004,0.289958333
07/01/2004,0.283291667
08/01/2004,0.27775
09/01/2004,0.270083333
10/01/2004,0.264125
11/01/2004,0.2625
12/01/2004,0.2685
13/01/2004,0.268833333
14/01/2004,0.265083333
15/01/2004,0.262875
16/01/2004,0.259375
17/01/2004,0.260125
18/01/2004,0.26075
19/01/2004,0.259958333
20/01/2004,0.258291667
21/01/2004,0.256833333
22/01/2004,0.256083333
23/01/2004,0.254625
24/01/2004,0.252708333
25/01/2004,0.251
26/01/2004,0.250666667
27/01/2004,0.250583333
28/01/2004,0.250833333
29/01/2004,0.253166667
30/01/2004,0.256375
31/01/2004,0.25925
01/02/2004,0.260166667
02/02/2004,0.259125
03/02/2004,0.259
04/02/2004,0.259666667
05/02/2004,0.259666667
06/02/2004,0.259666667
07/02/2004,0.259666667
08/02/2004,0.259666667
09/02/2004,0.261083333
10/02/2004,0.26375
11/02/2004,0.266
12/02/2004,0.264875
13/02/2004,0.262583333
14/02/2004,0.262583333
15/02/2004,0.262875
16/02/2004,0.26025
17/02/2004,0.258875
18/02/2004,0.257375
19/02/2004,0.255416667
20/02/2004,0.254833333
21/02/2004,0.258166667
22/02/2004,0.265875
23/02/2004,0.268875
24/02/2004,0.267083333
25/02/2004,0.263958333
26/02/2004,0.262375
27/02/2004,0.261583333
28/02/2004,0.264625
29/02/2004,0.268208333
01/03/2004,0.268166667
02/03/2004,0.268166667
03/03/2004,0.268166667
04/03/2004,0.268166667
05/03/2004,0.268166667
06/03/2004,0.268166667
07/03/2004,0.268166667
08/03/2004,0.267625
09/03/2004,0.26875
10/03/2004,0.267458333
11/03/2004,0.263666667
12/03/2004,0.262041667
13/03/2004,0.26625
14/03/2004,0.263208333
15/03/2004,0.267916667
16/03/2004,0.265291667
17/03/2004,0.266333333
18/03/2004,0.270416667
19/03/2004,0.274125
20/03/2004,0.277708333
21/03/2004,0.292625
22/03/2004,0.276458333
23/03/2004,0.269375
24/03/2004,0.267625
25/03/2004,0.26425
26/03/2004,0.261333333
27/03/2004,0.282583333
28/03/2004,0.27025
29/03/2004,0.265791667
30/03/2004,0.262708333
31/03/2004,0.301458333
01/04/2004,0.32425
02/04/2004,0.302083333
03/04/2004,0.283291667
04/04/2004,0.286333333
05/04/2004,0.28825
06/04/2004,0.282916667
07/04/2004,0.280791667
08/04/2004,0.279125
09/04/2004,0.277208333
10/04/2004,0.274833333
11/04/2004,0.272583333
12/04/2004,0.274875
13/04/2004,0.328791667
14/04/2004,0.321
15/04/2004,0.3115
16/04/2004,0.302166667
17/04/2004,0.296708333
18/04/2004,0.293083333
19/04/2004,0.288875
20/04/2004,0.28425
21/04/2004,0.278208333
22/04/2004,0.274083333
23/04/2004,0.299625
24/04/2004,0.2865
25/04/2004,0.280166667
26/04/2004,0.306458333
27/04/2004,0.29425
28/04/2004,0.281541667
29/04/2004,0.275416667
30/04/2004,0.270208333
01/05/2004,0.266125
02/05/2004,0.265458333
03/05/2004,0.277083333
04/05/2004,0.294333333
05/05/2004,0.277666667
06/05/2004,0.270625
07/05/2004,0.266083333
08/05/2004,0.26125
09/05/2004,0.275375
10/05/2004,0.267958333
11/05/2004,0.261125
12/05/2004,0.255583333
13/05/2004,0.25125
14/05/2004,0.247916667
15/05/2004,0.249416667
16/05/2004,0.262125
17/05/2004,0.251208333
18/05/2004,0.262083333
19/05/2004,0.27
20/05/2004,0.256791667
21/05/2004,0.2495
22/05/2004,0.2555
23/05/2004,0.255875
24/05/2004,0.271958333
25/05/2004,0.273875
26/05/2004,0.269458333
27/05/2004,0.28525
28/05/2004,0.280625
29/05/2004,0.270041667
30/05/2004,0.259875
31/05/2004,0.252958333
01/06/2004,0.267958333
02/06/2004,0.276541667
03/06/2004,0.27825
04/06/2004,0.270208333
05/06/2004,0.258583333
06/06/2004,0.251958333
07/06/2004,0.246791667
08/06/2004,0.240166667
09/06/2004,0.242625
10/06/2004,0.269458333
11/06/2004,0.256625
12/06/2004,0.24575
13/06/2004,0.237833333
14/06/2004,0.233125
15/06/2004,0.228
16/06/2004,0.2185
17/06/2004,0.211208333
18/06/2004,0.220041667
19/06/2004,0.211916667
20/06/2004,0.205041667
21/06/2004,0.197041667
22/06/2004,0.196916667
23/06/2004,0.193958333
24/06/2004,0.186291667
25/06/2004,0.183791667
26/06/2004,0.198333333
27/06/2004,0.191708333
28/06/2004,0.18225
29/06/2004,0.198625
30/06/2004,0.183625
01/07/2004,0.176208333
02/07/2004,0.293833333
03/07/2004,0.293833333
04/07/2004,0.293833333
05/07/2004,0.293833333
06/07/2004,0.226375
07/07/2004,0.180291667
08/07/2004,0.193333333
09/07/2004,0.228875
10/07/2004,0.220291667
11/07/2004,0.218166667
12/07/2004,0.205416667
13/07/2004,0.200291667
14/07/2004,0.196958333
15/07/2004,0.192958333
16/07/2004,0.186708333
17/07/2004,0.179333333
18/07/2004,0.1735
19/07/2004,0.226708333
20/07/2004,0.233625
21/07/2004,0.215041667
22/07/2004,0.201416667
23/07/2004,0.200958333
24/07/2004,0.210666667
25/07/2004,0.197708333
26/07/2004,0.186916667
27/07/2004,0.193833333
28/07/2004,0.217916667
29/07/2004,0.203833333
30/07/2004,0.191625
31/07/2004,0.18175
01/08/2004,0.178208333
02/08/2004,0.170708333
03/08/2004,0.162916667
04/08/2004,0.159
05/08/2004,0.220166667
06/08/2004,0.194041667
07/08/2004,0.182541667
08/08/2004,0.173625
09/08/2004,0.165541667
10/08/2004,0.158458333
11/08/2004,0.154791667
12/08/2004,0.155916667
13/08/2004,0.153541667
14/08/2004,0.149375
15/08/2004,0.20925
16/08/2004,0.210666667
17/08/2004,0.205708333
18/08/2004,0.190583333
19/08/2004,0.181833333
20/08/2004,0.183083333
21/08/2004,0.1775
22/08/2004,0.1775
23/08/2004,0.1775
24/08/2004,0.195041667
25/08/2004,0.207458333
26/08/2004,0.19875
27/08/2004,0.190916667
28/08/2004,0.184291667
29/08/2004,0.177791667
30/08/2004,0.171458333
31/08/2004,0.167875
01/09/2004,0.163416667
02/09/2004,0.157833333
03/09/2004,0.153416667
04/09/2004,0.149708333
05/09/2004,0.147625
06/09/2004,0.144708333
07/09/2004,0.142666667
08/09/2004,0.191083333
09/09/2004,0.254208333
10/09/2004,0.232791667
11/09/2004,0.217875
12/09/2004,0.207791667
13/09/2004,0.2
14/09/2004,0.194041667
15/09/2004,0.187333333
16/09/2004,0.182833333
17/09/2004,0.180583333
18/09/2004,0.305291667
19/09/2004,0.263375
20/09/2004,0.247666667
21/09/2004,0.235958333
22/09/2004,0.227375
23/09/2004,0.220291667
24/09/2004,0.214916667
25/09/2004,0.210375
26/09/2004,0.205791667
27/09/2004,0.200625
28/09/2004,0.27125
29/09/2004,0.287291667
30/09/2004,0.263
01/10/2004,0.25775
02/10/2004,0.251916667
03/10/2004,0.252125
04/10/2004,0.242333333
05/10/2004,0.2355
06/10/2004,0.231041667
07/10/2004,0.227166667
08/10/2004,0.223125
09/10/2004,0.219541667
10/10/2004,0.216041667
11/10/2004,0.213
12/10/2004,0.209708333
13/10/2004,0.206833333
14/10/2004,0.209
15/10/2004,0.229
16/10/2004,0.269375
17/10/2004,0.250708333
18/10/2004,0.242875
19/10/2004,0.282625
20/10/2004,0.26625
21/10/2004,0.254708333
22/10/2004,0.248833333
23/10/2004,0.245
24/10/2004,0.241666667
25/10/2004,0.238916667
26/10/2004,0.236791667
27/10/2004,0.234875
28/10/2004,0.233125
29/10/2004,0.231791667
30/10/2004,0.236916667
31/10/2004,0.240958333
01/11/2004,0.236958333
02/11/2004,0.2345
03/11/2004,0.242666667
04/11/2004,0.259541667
05/11/2004,0.277333333
06/11/2004,0.262375
07/11/2004,0.255791667
08/11/2004,0.251416667
09/11/2004,0.248041667
10/11/2004,0.245833333
11/11/2004,0.244375
12/11/2004,0.2435
13/11/2004,0.247125
14/11/2004,0.249916667
15/11/2004,0.258875
16/11/2004,0.255833333
17/11/2004,0.25075
18/11/2004,0.247166667
19/11/2004,0.244375
20/11/2004,0.245333333
21/11/2004,0.256416667
22/11/2004,0.249833333
23/11/2004,0.246416667
24/11/2004,0.256125
25/11/2004,0.280958333
26/11/2004,0.271
27/11/2004,0.262333333
28/11/2004,0.286541667
29/11/2004,0.283708333
30/11/2004,0.269666667
01/12/2004,0.304416667
02/12/2004,0.280041667
03/12/2004,0.268416667
04/12/2004,0.261916667
05/12/2004,0.2575
06/12/2004,0.254083333
07/12/2004,0.261083333
08/12/2004,0.281416667
09/12/2004,0.269333333
10/12/2004,0.281666667
11/12/2004,0.28225
12/12/2004,0.269958333
13/12/2004,0.265
14/12/2004,0.260875
15/12/2004,0.2575
16/12/2004,0.25575
17/12/2004,0.25475
18/12/2004,0.253541667
19/12/2004,0.253041667
20/12/2004,0.252583333
21/12/2004,0.252625
22/12/2004,0.253708333
23/12/2004,0.279166667
24/12/2004,0.288166667
25/12/2004,0.288166667
26/12/2004,0.288166667
27/12/2004,0.288166667
28/12/2004,0.288166667
29/12/2004,0.288166667
30/12/2004,0.288166667
31/12/2004,0.288166667
01/01/2005,0.288166667
02/01/2005,0.288166667
03/01/2005,0.288166667
04/01/2005,0.2945
05/01/2005,0.2775
06/01/2005,0.274208333
07/01/2005,0.276333333
08/01/2005,0.27425
09/01/2005,0.275625
10/01/2005,0.276958333
11/01/2005,0.275333333
12/01/2005,0.275
13/01/2005,0.279458333
14/01/2005,0.310458333
15/01/2005,0.288333333
16/01/2005,0.282958333
17/01/2005,0.283041667
18/01/2005,0.281458333
19/01/2005,0.280083333
20/01/2005,0.280291667
21/01/2005,0.278333333
22/01/2005,0.275583333
23/01/2005,0.274416667
24/01/2005,0.275625
25/01/2005,0.276666667
26/01/2005,0.276791667
27/01/2005,0.276666667
28/01/2005,0.274458333
29/01/2005,0.272708333
30/01/2005,0.272291667
31/01/2005,0.2715
01/02/2005,0.269416667
02/02/2005,0.267416667
03/02/2005,0.265916667
04/02/2005,0.268583333
05/02/2005,0.273708333
06/02/2005,0.27825
07/02/2005,0.278583333
08/02/2005,0.276375
09/02/2005,0.274583333
10/02/2005,0.299875
11/02/2005,0.286708333
12/02/2005,0.278708333
13/02/2005,0.275541667
14/02/2005,0.271125
15/02/2005,0.294916667
16/02/2005,0.287458333
17/02/2005,0.281291667
18/02/2005,0.2715
19/02/2005,0.265208333
20/02/2005,0.262375
21/02/2005,0.260583333
22/02/2005,0.261041667
23/02/2005,0.2635
24/02/2005,0.263625
25/02/2005,0.261958333
26/02/2005,0.261666667
27/02/2005,0.26125
28/02/2005,0.260041667
01/03/2005,0.260416667
02/03/2005,0.265333333
03/03/2005,0.2675
04/03/2005,0.26675
05/03/2005,0.2655
06/03/2005,0.26475
07/03/2005,0.273458333
08/03/2005,0.296541667
09/03/2005,0.285958333
10/03/2005,0.279458333
11/03/2005,0.275208333
12/03/2005,0.276125
13/03/2005,0.2785
14/03/2005,0.278833333
15/03/2005,0.278958333
