Date,Soil_temperature
20/05/2003,13.47
21/05/2003,12.065
22/05/2003,10.925
23/05/2003,10.0275
24/05/2003,9.425
25/05/2003,9.74
26/05/2003,10.2575
27/05/2003,10.32
28/05/2003,11.5825
29/05/2003,12.0875
30/05/2003,13.0525
31/05/2003,12.7725
01/06/2003,12.68
02/06/2003,11.7825
03/06/2003,11.9925
04/06/2003,12.4325
05/06/2003,12.1475
06/06/2003,12.955
07/06/2003,13.305
08/06/2003,13.0625
09/06/2003,13.2025
10/06/2003,13.79
11/06/2003,14.0275
12/06/2003,15.11
13/06/2003,14.845
14/06/2003,13.8925
15/06/2003,14.78
16/06/2003,14.115
17/06/2003,13.6
18/06/2003,13.58
19/06/2003,14.0725
20/06/2003,14.5025
21/06/2003,14.1575
22/06/2003,13.4625
23/06/2003,14.2675
24/06/2003,16.1025
25/06/2003,17.2
26/06/2003,18.1275
27/06/2003,18.8375
28/06/2003,17.5875
29/06/2003,17.015
30/06/2003,17.2425
01/07/2003,16.6025
02/07/2003,16.495
03/07/2003,17.1225
04/07/2003,17.485
05/07/2003,18.4675
06/07/2003,18.775
07/07/2003,18.425
08/07/2003,18.81
09/07/2003,18.0575
10/07/2003,16.6075
11/07/2003,16.2175
12/07/2003,16.4625
13/07/2003,16.905
14/07/2003,16.515
15/07/2003,16.905
16/07/2003,17.0325
17/07/2003,17.2025
18/07/2003,17.2625
19/07/2003,17.3825
20/07/2003,16.775
21/07/2003,17.15
22/07/2003,17.9225
23/07/2003,18.5275
24/07/2003,18.885
25/07/2003,18.6725
26/07/2003,18.52
27/07/2003,19.0325
28/07/2003,18.935
29/07/2003,17.95
30/07/2003,18.0325
31/07/2003,18.1825
01/08/2003,17.33
02/08/2003,17.2825
03/08/2003,19.225
04/08/2003,19.8075
05/08/2003,20.2025
06/08/2003,20.2825
07/08/2003,19.9125
08/08/2003,19.83
09/08/2003,20.275
10/08/2003,20.405
11/08/2003,20.3925
12/08/2003,20.47
13/08/2003,20.4325
14/08/2003,20.34
15/08/2003,20.5175
16/08/2003,20.5475
17/08/2003,19.9725
18/08/2003,18.9725
19/08/2003,19.05
20/08/2003,19.3075
21/08/2003,19.935
22/08/2003,20.525
23/08/2003,19.73
24/08/2003,17.1175
25/08/2003,16.84
26/08/2003,17.925
27/08/2003,18.74
28/08/2003,17.8425
29/08/2003,16.7725
30/08/2003,18.6225
31/08/2003,16.51
01/09/2003,15.9075
02/09/2003,15.7775
03/09/2003,15.7425
04/09/2003,16.11
05/09/2003,16.9025
06/09/2003,16.27
07/09/2003,15.97
08/09/2003,16.585
09/09/2003,15.35
10/09/2003,14.35
11/09/2003,15.545
12/09/2003,15.4825
13/09/2003,15.335
14/09/2003,16.985
15/09/2003,17.8
16/09/2003,18.11
17/09/2003,16.6525
18/09/2003,15.9575
19/09/2003,16.5575
20/09/2003,18.4525
21/09/2003,17.155
22/09/2003,16.0275
23/09/2003,16.6075
24/09/2003,15.8275
25/09/2003,15.6375
26/09/2003,15.655
27/09/2003,15.5975
28/09/2003,16.89
29/09/2003,15.55
30/09/2003,13.5025
01/10/2003,12.18
02/10/2003,11.5425
03/10/2003,10.115
04/10/2003,10.225
05/10/2003,10.18
06/10/2003,9.4825
07/10/2003,8.975
08/10/2003,10.255
09/10/2003,12.3725
10/10/2003,12.5825
11/10/2003,12.575
12/10/2003,12.3725
13/10/2003,12.58
14/10/2003,11.715
15/10/2003,12.3475
16/10/2003,10.8825
17/10/2003,10.1225
18/10/2003,9.7575
19/10/2003,8.6
20/10/2003,7.78
21/10/2003,9.45
22/10/2003,9.475
23/10/2003,7.2075
24/10/2003,6.5525
25/10/2003,6.33
26/10/2003,8.8375
27/10/2003,11.705
28/10/2003,11.275
29/10/2003,10.45
30/10/2003,9.7375
31/10/2003,9.2875
01/11/2003,10.2
02/11/2003,8.38167333
03/11/2003,8.243856204
04/11/2003,7.611548565
05/11/2003,6.384568038
06/11/2003,6.86377904
07/11/2003,7.146474035
08/11/2003,6.15128428
09/11/2003,4.913119417
10/11/2003,4.726749833
11/11/2003,5.171975851
12/11/2003,6.013272061
13/11/2003,6.533814437
14/11/2003,5.49454576
15/11/2003,4.456771984
16/11/2003,4.453272053
17/11/2003,4.841213278
18/11/2003,5.84
19/11/2003,6.69
20/11/2003,8.7375
21/11/2003,7.0425
22/11/2003,6.8225
23/11/2003,6.1025
24/11/2003,5.7025
25/11/2003,5.7525
26/11/2003,4.3425
27/11/2003,4.7375
28/11/2003,5.805
29/11/2003,7.45
30/11/2003,5.05
01/12/2003,4.755
02/12/2003,3.545
03/12/2003,1.91
04/12/2003,1.1925
05/12/2003,0.985
06/12/2003,0.89
07/12/2003,0.9775
08/12/2003,1.2225
09/12/2003,1.55
10/12/2003,1.865
11/12/2003,1.9625
12/12/2003,1.8575
13/12/2003,1.8625
14/12/2003,1.4
15/12/2003,1.275
16/12/2003,1.4875
17/12/2003,1.55
18/12/2003,1.275
19/12/2003,1.565
20/12/2003,1.615
21/12/2003,1.5525
22/12/2003,1.4675
23/12/2003,1.6575
24/12/2003,1.66
25/12/2003,1.825
26/12/2003,1.6975
27/12/2003,1.4725
28/12/2003,1.2825
29/12/2003,1.37
30/12/2003,1.7475
31/12/2003,1.7675
01/01/2004,1.6725
02/01/2004,1.4425
03/01/2004,1.565
04/01/2004,2.395
05/01/2004,2.105
06/01/2004,1.83
07/01/2004,1.275
08/01/2004,0.7825
09/01/2004,0.3325
10/01/2004,-0.2725
11/01/2004,-0.8
12/01/2004,-0.5
13/01/2004,-0.27
14/01/2004,-0.465
15/01/2004,-0.655
16/01/2004,-0.85
17/01/2004,-0.795
18/01/2004,-0.4675
19/01/2004,-0.415
20/01/2004,-0.5975
21/01/2004,-0.64
22/01/2004,-0.6175
23/01/2004,-0.58
24/01/2004,-0.8325
25/01/2004,-1.055
26/01/2004,-1.135
27/01/2004,-0.93
28/01/2004,-0.7025
29/01/2004,-0.485
30/01/2004,-0.45
31/01/2004,-0.445
01/02/2004,-0.46
02/02/2004,-0.415
03/02/2004,-0.37
04/02/2004,-0.285
05/02/2004,-0.2525
06/02/2004,-0.2425
07/02/2004,-0.205
08/02/2004,-0.1675
09/02/2004,-0.1775
10/02/2004,-0.1625
11/02/2004,-0.135
12/02/2004,-0.1475
13/02/2004,-0.1675
14/02/2004,-0.15
15/02/2004,-0.1475
16/02/2004,-0.23
17/02/2004,-0.2975
18/02/2004,-0.27
19/02/2004,-0.225
20/02/2004,-0.1925
21/02/2004,-0.155
22/02/2004,-0.1125
23/02/2004,-0.06
24/02/2004,-0.0225
25/02/2004,-0.0075
26/02/2004,-0.03
27/02/2004,0.005
28/02/2004,0.0925
29/02/2004,0.2575
01/03/2004,0.37
02/03/2004,0.4975
03/03/2004,0.5825
04/03/2004,0.635
05/03/2004,0.68
06/03/2004,0.65
07/03/2004,0.7625
08/03/2004,0.8125
09/03/2004,0.5825
10/03/2004,0.79
11/03/2004,0.7675
12/03/2004,0.5175
13/03/2004,0.3425
14/03/2004,0.4975
15/03/2004,0.48
16/03/2004,0.565
17/03/2004,0.5625
18/03/2004,0.5875
19/03/2004,0.6125
20/03/2004,0.635
21/03/2004,0.6375
22/03/2004,0.6125
23/03/2004,0.525
24/03/2004,0.475
25/03/2004,0.65
26/03/2004,1.2725
27/03/2004,3.69
28/03/2004,4.7325
29/03/2004,3.575
30/03/2004,3.0175
31/03/2004,3.08
01/04/2004,3.4
02/04/2004,3.525
03/04/2004,3.49
04/04/2004,3.9025
05/04/2004,3.3775
06/04/2004,2.9375
07/04/2004,3.5225
08/04/2004,4.0325
09/04/2004,4.735
10/04/2004,4.7025
11/04/2004,4.885
12/04/2004,5.205
13/04/2004,4.8875
14/04/2004,6.38
15/04/2004,6.3125
16/04/2004,5.7475
17/04/2004,6.685
18/04/2004,8.865
19/04/2004,9.4075
20/04/2004,10.4625
21/04/2004,8.9175
22/04/2004,9.6875
23/04/2004,9.69
24/04/2004,8.765
25/04/2004,8.1825
26/04/2004,7.57
27/04/2004,9.4175
28/04/2004,8.835
29/04/2004,8.7575
30/04/2004,10.865
01/05/2004,11.9175
02/05/2004,12.325
03/05/2004,12.27
04/05/2004,9.87
05/05/2004,8.8675
06/05/2004,9.685
07/05/2004,11.7075
08/05/2004,10.7825
09/05/2004,9.8075
10/05/2004,10.125
11/05/2004,12.3375
12/05/2004,13.5675
13/05/2004,14.1875
14/05/2004,13.0475
15/05/2004,14.67
16/05/2004,14.9475
17/05/2004,14.2775
18/05/2004,14.1375
